A,B,dr,dg,overlap,n_env,agree
ens_all,ens_linear,0.0553150835657852,0.057676754042257576,0.6577191415125783,169,True
ens_all,ens_tree,0.011464670976340026,0.021323667756802514,0.7568064088010813,169,True
ens_all,env_plus_geno,0.062486649175742544,0.04672103541382857,0.6720045949545504,169,True
ens_all,gblup,0.12003730536266341,0.07738373788042154,0.2501711437427374,169,True
ens_all,gblup_gxe,0.13850189803862314,0.15699290487455664,0.2704899848606368,169,True
ens_all,gbm_deep,0.009969088240008044,0.03181204253402393,0.7023724380545792,169,True
ens_all,gbm_deep__biased,0.009969088240008006,0.03181204253402393,0.7023724380545792,169,True
ens_all,gbm_deep__inflated,0.009969088240008049,0.03181204253402393,0.7023724380545792,169,True
ens_all,gbm_deep__noise0.5,0.10390165654841703,0.21106796936724695,0.30568650645225337,169,True
ens_all,gbm_deep__noise1.5,0.17519442120068762,0.30351652018519615,0.1777469101460888,169,True
ens_all,gbm_deep__shrunk,0.009969088240008042,0.03181204253402393,0.7023724380545792,169,True
ens_all,gbm_deep__shuffled,0.15620455518053164,0.26286184069257285,0.25909643216264155,169,True
ens_all,gbm_shallow,0.033407403584486836,0.07955333733768685,0.6730751937795991,169,True
ens_all,geno_mean,0.062486649175742544,0.04672103541382857,0.6720045949545504,169,True
ens_all,gxe_ridge,0.07095454665101765,0.11972949134083793,0.6104749414257251,169,True
ens_all,knn10,0.03588794648494305,0.12712591788068145,0.5605670402362144,169,True
ens_all,knn10__biased,0.035887946484943034,0.12880645805785207,0.5605670402362144,169,True
ens_all,knn10__inflated,0.03588794648494305,0.12712591788068145,0.5605670402362144,169,True
ens_all,knn10__noise0.5,0.07751344751888191,0.19934713335324122,0.3591248291839629,169,True
ens_all,knn10__noise1.5,0.15978199629466563,0.2667860841953699,0.19632607187288006,169,True
ens_all,knn10__shrunk,0.03588794648494302,0.1289199616626944,0.5605670402362144,169,True
ens_all,knn10__shuffled,0.1309364072449404,0.2409781985118083,0.2581073497327335,169,True
ens_all,knn50,0.01192928143970345,0.07825324844191389,0.35179984358145067,169,True
ens_all,markeronly_pc100,0.08054895357950857,-0.004059259340063375,0.25220405579573923,169,False
ens_all,markeronly_pc100__biased,0.08054895357950856,-0.004059259340063375,0.25220405579573923,169,False
ens_all,markeronly_pc100__inflated,0.08054895357950857,-0.004059259340063375,0.25220405579573923,169,False
ens_all,markeronly_pc100__noise0.5,0.025565820487998783,-0.08371897400330934,0.20033020922369338,169,False
ens_all,markeronly_pc100__noise1.5,0.09498364631519508,0.21925159303749522,0.1490750248455427,169,True
ens_all,markeronly_pc100__shrunk,0.08054895357950857,-0.004059259340063375,0.25220405579573923,169,False
ens_all,markeronly_pc25,0.06462320326018756,-0.06954164823876997,0.20478146942429046,169,False
ens_all,mlp,0.01396486143869893,-0.07074343568902963,0.41208988107860073,169,False
ens_all,mlp__biased,0.01396486143869893,-0.07074343568902963,0.41208988107860073,169,False
ens_all,mlp__inflated,0.013964861438698939,-0.07074343568902963,0.41208988107860073,169,False
ens_all,mlp__shrunk,0.013964861438698923,-0.07074343568902963,0.41208988107860073,169,False
ens_all,reaction_norm,0.07120595045723022,0.11937034958187875,0.6097352964553109,169,True
ens_all,reaction_norm__biased,0.07120595045723023,0.11937034958187875,0.6097352964553109,169,True
ens_all,reaction_norm__inflated,0.07120595045723019,0.11937034958187875,0.6097352964553109,169,True
ens_all,reaction_norm__noise0.5,0.15024852942023495,0.2212894858301762,0.27404160965810415,169,True
ens_all,reaction_norm__noise1.5,0.20758650831522032,0.34044311203619415,0.14879086798346813,169,True
ens_all,reaction_norm__shrunk,0.07120595045723019,0.11937034958187875,0.6097352964553109,169,True
ens_all,rf_large,0.04442523213954067,0.033771124886980884,0.5938501982362384,169,True
ens_all,rf_large__biased,0.044425232139540645,0.033771124886980884,0.5938501982362384,169,True
ens_all,rf_large__inflated,0.04442523213954065,0.033771124886980884,0.5938501982362384,169,True
ens_all,rf_large__noise0.5,0.10402779982716587,0.20229734164774008,0.3599524190568146,169,True
ens_all,rf_large__noise1.5,0.18655794548216378,0.3732482066957767,0.19971770584194726,169,True
ens_all,rf_large__shrunk,0.04442523213954058,0.033771124886980884,0.5938501982362384,169,True
ens_all,rf_large__shuffled,0.15756260111719061,0.2636009623421763,0.27179486194788877,169,True
ens_all,rf_small,0.025573040537699505,0.019785729788888755,0.6537360534332529,169,True
ens_all,ridge_pc100_hi,0.05975783798383702,0.0858444458810911,0.6177932489780343,169,True
ens_all,ridge_pc100_lo,0.06021820201450059,0.08161763959146899,0.618976680930697,169,True
ens_all,ridge_pc10_hi,0.07047407705643596,0.12099771731912562,0.6160308160224776,169,True
ens_all,ridge_pc10_lo,0.07076173074986931,0.12239264356264774,0.614665317615559,169,True
ens_all,ridge_pc25_hi,0.0636820877333472,0.11065918010838999,0.6059231442790052,169,True
ens_all,ridge_pc25_lo,0.06397365819550603,0.10995579330913643,0.6063457985478133,169,True
ens_all,ridge_pc50_hi,0.05228079554604623,0.07824493492285194,0.6436998219077538,169,True
ens_all,ridge_pc50_lo,0.05262190872492933,0.07691403220946769,0.642319151296314,169,True
ens_all,ridge_pc50_lo__biased,0.05262190872492932,0.07691403220946769,0.642319151296314,169,True
ens_all,ridge_pc50_lo__inflated,0.05262190872492932,0.07691403220946769,0.642319151296314,169,True
ens_all,ridge_pc50_lo__noise0.5,0.15271236355611514,0.2627220134852784,0.2854387288466847,169,True
ens_all,ridge_pc50_lo__noise1.5,0.18008123257846995,0.3630191988242696,0.14854425861988607,169,True
ens_all,ridge_pc50_lo__shrunk,0.052621908724929306,0.07691403220946769,0.642319151296314,169,True
ens_all,ridge_pc50_lo__shuffled,0.16956539738083368,0.268132406433057,0.23893532141167517,169,True
ens_all__biased,ens_linear,0.05531508356578518,0.057676754042257576,0.6577191415125783,169,True
ens_all__biased,ens_tree,0.01146467097634,0.021323667756802514,0.7568064088010813,169,True
ens_all__biased,env_plus_geno,0.06248664917574252,0.04672103541382857,0.6720045949545504,169,True
ens_all__biased,gblup,0.12003730536266345,0.07738373788042154,0.2501711437427374,169,True
ens_all__biased,gblup_gxe,0.13850189803862314,0.15699290487455664,0.2704899848606368,169,True
ens_all__biased,gbm_deep,0.009969088240008021,0.03181204253402393,0.7023724380545792,169,True
ens_all__biased,gbm_deep__biased,0.00996908824000798,0.03181204253402393,0.7023724380545792,169,True
ens_all__biased,gbm_deep__inflated,0.009969088240008025,0.03181204253402393,0.7023724380545792,169,True
ens_all__biased,gbm_deep__noise0.5,0.103901656548417,0.21106796936724695,0.30568650645225337,169,True
ens_all__biased,gbm_deep__noise1.5,0.17519442120068762,0.30351652018519615,0.1777469101460888,169,True
ens_all__biased,gbm_deep__shrunk,0.009969088240008016,0.03181204253402393,0.7023724380545792,169,True
ens_all__biased,gbm_deep__shuffled,0.15620455518053158,0.26286184069257285,0.25909643216264155,169,True
ens_all__biased,gbm_shallow,0.033407403584486815,0.07955333733768685,0.6730751937795991,169,True
ens_all__biased,geno_mean,0.062486649175742516,0.04672103541382857,0.6720045949545504,169,True
