method,Env,n,k,tie_safe,n_distinct,p_decision_changed,mean_values_collapsed,mean_ties_broken
KernelOfTruth_sub244906,DEH1_2022,473,47,True,461,0.0,0.0,0.0
KernelOfTruth_sub244906,DEH1_2022,473,47,False,461,0.0,0.0,12.0
KernelOfTruth_sub244906,GAH1_2022,445,44,True,436,0.0,0.0,0.0
KernelOfTruth_sub244906,GAH1_2022,445,44,False,436,0.0,0.0,9.0
KernelOfTruth_sub244906,GAH2_2022,437,44,True,425,0.0,0.0,0.0
KernelOfTruth_sub244906,GAH2_2022,437,44,False,425,0.0,0.0,12.0
KernelOfTruth_sub244906,IAH1_2022,524,52,True,510,0.0,0.0,0.0
KernelOfTruth_sub244906,IAH1_2022,524,52,False,510,0.0,0.0,14.0
KernelOfTruth_sub244906,IAH2_2022,518,52,True,505,0.0,0.0,0.0
KernelOfTruth_sub244906,IAH2_2022,518,52,False,505,0.0,0.0,13.0
KernelOfTruth_sub244906,IAH3_2022,521,52,True,507,0.0,0.0,0.0
KernelOfTruth_sub244906,IAH3_2022,521,52,False,507,0.0,0.0,14.0
KernelOfTruth_sub244906,IAH4_2022,518,52,True,505,0.0,0.0,0.0
KernelOfTruth_sub244906,IAH4_2022,518,52,False,505,0.0,0.0,13.0
KernelOfTruth_sub244906,ILH1_2022,446,45,True,436,0.0,0.0,0.0
KernelOfTruth_sub244906,ILH1_2022,446,45,False,436,0.0,0.0,10.0
KernelOfTruth_sub244906,INH1_2022,458,46,True,447,0.0,0.0,0.0
KernelOfTruth_sub244906,INH1_2022,458,46,False,447,0.0,0.0,11.0
KernelOfTruth_sub244906,MIH1_2022,507,51,True,495,0.0,0.0,0.0
KernelOfTruth_sub244906,MIH1_2022,507,51,False,495,0.0,0.0,12.0
KernelOfTruth_sub244906,MNH1_2022,434,43,True,429,0.0,0.0,0.0
KernelOfTruth_sub244906,MNH1_2022,434,43,False,429,0.0,0.0,5.0
KernelOfTruth_sub244906,MOH2_2022,453,45,True,444,0.0,0.0,0.0
KernelOfTruth_sub244906,MOH2_2022,453,45,False,444,0.0,0.0,9.0
KernelOfTruth_sub244906,NCH1_2022,530,53,True,515,0.0,0.0,0.0
KernelOfTruth_sub244906,NCH1_2022,530,53,False,515,0.0,0.0,15.0
KernelOfTruth_sub244906,NEH1_2022,344,34,True,339,0.0,0.0,0.0
KernelOfTruth_sub244906,NEH1_2022,344,34,False,339,0.0,0.0,5.0
KernelOfTruth_sub244906,NYH2_2022,427,43,True,420,0.0,0.0,0.0
KernelOfTruth_sub244906,NYH2_2022,427,43,False,420,0.0,0.0,7.0
KernelOfTruth_sub244906,NYH3_2022,435,44,True,427,0.0,0.0,0.0
KernelOfTruth_sub244906,NYH3_2022,435,44,False,427,0.0,0.0,8.0
KernelOfTruth_sub244906,OHH1_2022,430,43,True,421,0.0,0.0,0.0
KernelOfTruth_sub244906,OHH1_2022,430,43,False,421,0.0,0.0,9.0
KernelOfTruth_sub244906,TXH1_2022,347,35,True,346,0.0,0.0,0.0
KernelOfTruth_sub244906,TXH1_2022,347,35,False,346,0.0,0.0,1.0
KernelOfTruth_sub244906,TXH2_2022,335,34,True,330,0.0,0.0,0.0
KernelOfTruth_sub244906,TXH2_2022,335,34,False,330,0.0,0.0,5.0
KernelOfTruth_sub244906,TXH3_2022,342,34,True,339,0.0,0.0,0.0
KernelOfTruth_sub244906,TXH3_2022,342,34,False,339,0.0,0.0,3.0
KernelOfTruth_sub244906,WIH1_2022,423,42,True,413,0.0,0.0,0.0
KernelOfTruth_sub244906,WIH1_2022,423,42,False,413,0.0,0.0,10.0
KernelOfTruth_sub244906,WIH2_2022,501,50,True,488,0.0,0.0,0.0
KernelOfTruth_sub244906,WIH2_2022,501,50,False,488,0.0,0.0,13.0
KernelOfTruth_sub244906,WIH3_2022,442,44,True,438,0.0,0.0,0.0
KernelOfTruth_sub244906,WIH3_2022,442,44,False,438,0.0,0.0,4.0
KernelOfTruth_sub244944,DEH1_2022,473,47,True,469,0.0,0.0,0.0
KernelOfTruth_sub244944,DEH1_2022,473,47,False,469,0.0,0.0,4.0
KernelOfTruth_sub244944,GAH1_2022,445,44,True,444,0.0,0.0,0.0
KernelOfTruth_sub244944,GAH1_2022,445,44,False,444,0.0,0.0,1.0
KernelOfTruth_sub244944,GAH2_2022,437,44,True,436,0.0,0.0,0.0
KernelOfTruth_sub244944,GAH2_2022,437,44,False,436,1.0,0.0,1.0
KernelOfTruth_sub244944,IAH1_2022,524,52,True,521,0.0,0.0,0.0
KernelOfTruth_sub244944,IAH1_2022,524,52,False,521,0.0,0.0,3.0
KernelOfTruth_sub244944,IAH2_2022,518,52,True,515,0.0,0.0,0.0
KernelOfTruth_sub244944,IAH2_2022,518,52,False,515,0.0,0.0,3.0
KernelOfTruth_sub244944,IAH3_2022,521,52,True,518,0.0,0.0,0.0
KernelOfTruth_sub244944,IAH3_2022,521,52,False,518,0.0,0.0,3.0
KernelOfTruth_sub244944,IAH4_2022,518,52,True,516,0.0,0.0,0.0
KernelOfTruth_sub244944,IAH4_2022,518,52,False,516,0.0,0.0,2.0
KernelOfTruth_sub244944,ILH1_2022,446,45,True,445,0.0,0.0,0.0
KernelOfTruth_sub244944,ILH1_2022,446,45,False,445,0.0,0.0,1.0
KernelOfTruth_sub244944,INH1_2022,458,46,True,456,0.0,0.0,0.0
KernelOfTruth_sub244944,INH1_2022,458,46,False,456,0.0,0.0,2.0
KernelOfTruth_sub244944,MIH1_2022,507,51,True,505,0.0,0.0,0.0
KernelOfTruth_sub244944,MIH1_2022,507,51,False,505,0.0,0.0,2.0
KernelOfTruth_sub244944,MNH1_2022,434,43,True,433,0.0,0.0,0.0
KernelOfTruth_sub244944,MNH1_2022,434,43,False,433,0.0,0.0,1.0
KernelOfTruth_sub244944,MOH2_2022,453,45,True,452,0.0,0.0,0.0
KernelOfTruth_sub244944,MOH2_2022,453,45,False,452,0.0,0.0,1.0
KernelOfTruth_sub244944,NCH1_2022,530,53,True,527,0.0,0.0,0.0
KernelOfTruth_sub244944,NCH1_2022,530,53,False,527,0.0,0.0,3.0
KernelOfTruth_sub244944,NEH1_2022,344,34,True,344,0.0,0.0,0.0
KernelOfTruth_sub244944,NEH1_2022,344,34,False,344,0.0,0.0,0.0
KernelOfTruth_sub244944,NYH2_2022,427,43,True,427,0.0,0.0,0.0
KernelOfTruth_sub244944,NYH2_2022,427,43,False,427,0.0,0.0,0.0
KernelOfTruth_sub244944,NYH3_2022,435,44,True,434,0.0,0.0,0.0
KernelOfTruth_sub244944,NYH3_2022,435,44,False,434,0.0,0.0,1.0
KernelOfTruth_sub244944,OHH1_2022,430,43,True,429,0.0,0.0,0.0
KernelOfTruth_sub244944,OHH1_2022,430,43,False,429,0.0,0.0,1.0
KernelOfTruth_sub244944,TXH1_2022,347,35,True,347,0.0,0.0,0.0
KernelOfTruth_sub244944,TXH1_2022,347,35,False,347,0.0,0.0,0.0
KernelOfTruth_sub244944,TXH2_2022,335,34,True,335,0.0,0.0,0.0
KernelOfTruth_sub244944,TXH2_2022,335,34,False,335,0.0,0.0,0.0
KernelOfTruth_sub244944,TXH3_2022,342,34,True,342,0.0,0.0,0.0
KernelOfTruth_sub244944,TXH3_2022,342,34,False,342,0.0,0.0,0.0
KernelOfTruth_sub244944,WIH1_2022,423,42,True,421,0.0,0.0,0.0
KernelOfTruth_sub244944,WIH1_2022,423,42,False,421,0.0,0.0,2.0
KernelOfTruth_sub244944,WIH2_2022,501,50,True,497,0.0,0.0,0.0
KernelOfTruth_sub244944,WIH2_2022,501,50,False,497,0.0,0.0,4.0
KernelOfTruth_sub244944,WIH3_2022,442,44,True,441,0.0,0.0,0.0
KernelOfTruth_sub244944,WIH3_2022,442,44,False,441,0.0,0.0,1.0
KernelOfTruth_sub244953,DEH1_2022,473,47,True,466,0.0,0.0,0.0
KernelOfTruth_sub244953,DEH1_2022,473,47,False,466,0.0,0.0,7.0
KernelOfTruth_sub244953,GAH1_2022,445,44,True,444,0.0,0.0,0.0
KernelOfTruth_sub244953,GAH1_2022,445,44,False,444,0.0,0.0,1.0
KernelOfTruth_sub244953,GAH2_2022,437,44,True,434,0.0,0.0,0.0
KernelOfTruth_sub244953,GAH2_2022,437,44,False,434,0.0,0.0,3.0
KernelOfTruth_sub244953,IAH1_2022,524,52,True,510,0.0,0.0,0.0
KernelOfTruth_sub244953,IAH1_2022,524,52,False,510,0.0,0.0,14.0
KernelOfTruth_sub244953,IAH2_2022,518,52,True,510,0.0,0.0,0.0
KernelOfTruth_sub244953,IAH2_2022,518,52,False,510,0.0,0.0,8.0
KernelOfTruth_sub244953,IAH3_2022,521,52,True,510,0.0,0.0,0.0
KernelOfTruth_sub244953,IAH3_2022,521,52,False,510,0.0,0.0,11.0
KernelOfTruth_sub244953,IAH4_2022,518,52,True,511,0.0,0.0,0.0
KernelOfTruth_sub244953,IAH4_2022,518,52,False,511,0.0,0.0,7.0
KernelOfTruth_sub244953,ILH1_2022,446,45,True,443,0.0,0.0,0.0
KernelOfTruth_sub244953,ILH1_2022,446,45,False,443,0.0,0.0,3.0
KernelOfTruth_sub244953,INH1_2022,458,46,True,451,0.0,0.0,0.0
KernelOfTruth_sub244953,INH1_2022,458,46,False,451,0.0,0.0,7.0
KernelOfTruth_sub244953,MIH1_2022,507,51,True,503,0.0,0.0,0.0
KernelOfTruth_sub244953,MIH1_2022,507,51,False,503,0.0,0.0,4.0
KernelOfTruth_sub244953,MNH1_2022,434,43,True,428,0.0,0.0,0.0
KernelOfTruth_sub244953,MNH1_2022,434,43,False,428,0.0,0.0,6.0
KernelOfTruth_sub244953,MOH2_2022,453,45,True,447,0.0,0.0,0.0
KernelOfTruth_sub244953,MOH2_2022,453,45,False,447,0.0,0.0,6.0
KernelOfTruth_sub244953,NCH1_2022,530,53,True,517,0.0,0.0,0.0
KernelOfTruth_sub244953,NCH1_2022,530,53,False,517,0.0,0.0,13.0
KernelOfTruth_sub244953,NEH1_2022,344,34,True,343,0.0,0.0,0.0
KernelOfTruth_sub244953,NEH1_2022,344,34,False,343,0.0,0.0,1.0
KernelOfTruth_sub244953,NYH2_2022,427,43,True,424,0.0,0.0,0.0
KernelOfTruth_sub244953,NYH2_2022,427,43,False,424,0.0,0.0,3.0
KernelOfTruth_sub244953,NYH3_2022,435,44,True,432,0.0,0.0,0.0
KernelOfTruth_sub244953,NYH3_2022,435,44,False,432,0.0,0.0,3.0
KernelOfTruth_sub244953,OHH1_2022,430,43,True,426,0.0,0.0,0.0
KernelOfTruth_sub244953,OHH1_2022,430,43,False,426,0.0,0.0,4.0
KernelOfTruth_sub244953,TXH1_2022,347,35,True,346,0.0,0.0,0.0
KernelOfTruth_sub244953,TXH1_2022,347,35,False,346,0.0,0.0,1.0
